"","Variable","Estimate","CI","t","df","p"
"1","Study","0.02","[-0.05, 0.09]","0.55","472.1","0.583"
"2","Probability of Conception (WW)","0.06","[0.04, 0.08]","5.85","447.1","0.000"
"3","Partner Sexual Attract.","-0.15","[-0.22, -0.08]","-4.17","473.3","0.000"
"4","Study * Probability of Conception (WW)","0.00","[-0.02, 0.02]","0.28","428.0","0.783"
"5","Study * Partner Sexual Attract.","0.03","[-0.04, 0.10]","0.81","478.7","0.417"
"6","Probability of Conception (WW) * Partner Sexual Attract.","-0.04","[-0.06, -0.02]","-3.74","424.6","0.000"
"7","Study * Probability of Conception (WW) * Partner Sexual Attract.","0.00","[-0.02, 0.02]","0.38","446.6","0.705"
"8","Study","0.01","[-0.05, 0.08]","0.41","467.6","0.685"
"9","Estradiol (WW)","0.05","[0.02, 0.07]","3.57","529.1","0.000"
"10","Progesterone (WW)","-0.08","[-0.10, -0.05]","-6.07","433.6","0.000"
"11","Partner Sexual Attract.","-0.16","[-0.23, -0.09]","-4.42","477.8","0.000"
"12","Study * Progesterone (WW)","-0.00","[-0.03, 0.02]","-0.26","433.8","0.794"
"13","Study * Estradiol (WW)","-0.00","[-0.02, 0.02]","-0.00","428.2","0.998"
"14","Study * Partner Sexual Attract.","0.01","[-0.06, 0.09]","0.40","470.4","0.688"
"15","Estradiol (WW) * Partner Sexual Attract.","-0.03","[-0.06, -0.00]","-2.31","538.7","0.021"
"16","Progesterone (WW) * Partner Sexual Attract.","0.05","[0.02, 0.08]","3.91","429.2","0.000"
"17","Study * Estradiol (WW) * Partner Sexual Attract.","0.02","[-0.01, 0.04]","1.50","432.6","0.135"
"18","Study * Progesterone (WW) * Partner Sexual Attract.","0.00","[-0.02, 0.03]","0.04","429.9","0.969"
